timestamp,gender,age,enrolled_college,region,work_hours_week,personal_income,household_income,Are you or your family eligible for SNAP benefits or any governmental assistance program?,education_level,gpa_range,physical_activity_freq,dietary_style,food_thoughts_daily,fies_q1,fies_q2,fies_q3,fies_q4,fies_q5,fies_q6,fies_q7,fies_q8,rs_q1,rs_q2,rs_q3,rs_q4,rs_q5,rs_q6,smm_q1,smm_q2,smm_q3,smm_q4,smm_q5,smm_q6,smm_q7,smm_q8,pss_q1,pss_q2,pss_q3,pss_q4,pss_q5,pss_q6,pss_q7,pss_q8,pss_q9,pss_q10,k10_q1,k10_q2,k10_q3,k10_q4,k10_q5,k10_q6,exercise_days_week,breakfast_freq,whole_grains_freq,dairy_freq,caffeine_freq,fruits_freq,nuts_freq,rice_pasta_freq,meat_freq,leafy_veg_freq,beans_freq,fish_freq,fast_food_freq,multivitamin_freq,fish_oil_freq,fies_score,fies_level,resilience_score,RS_level,smm_score,smm_level,k10_score,k10_level
2022-09-08 11:06:19.427,Female,40-49,No,North America/Central America,21 to 30 hours,"$100,000 or greater","$150,000 to $249,999",No,"Master's Degree (MS, MBA, MPH, etc.)",3.4-3.69,6-7 times,I don’t follow a specific diet,4-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,3.0,3.0,3.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,Sometimes,Sometimes,Sometimes,Fairly Often,Fairly Often,Sometimes,Sometimes,Almost never,Fairly Often,Sometimes,3.0,2.0,3.0,2.0,2.0,3.0,6-7 times,6 or 7 times,1 time,2 times,5 times or more,4 times,1 time,5 times or more,5 times or more,3 times,1 time,1.0,3.0,0.0,0.0,0.0,High food security,20.0,Normal resilience,11.0,Likely to have a moderate effect,15.0,Moderate psychological distress
2022-09-08 11:53:21.630,Male,50 and older,No,North America/Central America,Not applicable,"$100,000 or greater","$150,000 to $249,999",No,"2 or 4 Years of College Degree (AA, BA, BS)",Not applicable,2 times,I don’t follow a specific diet,0-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,Fairly often,Almost never,Sometimes,Fairly Often,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Almost never,2.0,2.864229765013055,3.0,2.0,3.0,2.8990066225165565,2 times,5 times,4 times,4 times,5 times or more,4 times,4 times,5 times or more,5 times or more,4 times,1 time,1.0,2.0,0.0,0.0,0.0,High food security,24.0,High resilience,14.0,Likely to have a moderate effect,15.763236387529613,Moderate psychological distress
2022-09-09 21:18:49.101,Male,50 and older,No,North America/Central America,More than 40 hours,"$50,000 to 74,999","$100,000 to $149,999",No,"2 or 4 Years of College Degree (AA, BA, BS)",3.0-3.39,5 times,I don’t follow a specific diet,4-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,Fairly often,Very often,Fairly often,Sometimes,Sometimes,Sometimes,Fairly Often,Almost never,Fairly Often,Fairly often,4.0,4.0,4.0,4.0,4.0,4.0,5 times,1 time,2 times,3 times,,4 times,,5 times or more,5 times or more,5 times or more,3 times,2.0,3.0,3.0,3.0,0.0,High food security,15.0,Normal resilience,12.0,Likely to have a moderate effect,24.0,Severe psychological distress
2022-09-09 21:48:12.198,Male,50 and older,No,North America/Central America,More than 40 hours,"$100,000 or greater","$150,000 to $249,999",Not sure,"2 or 4 Years of College Degree (AA, BA, BS)",3.0-3.39,3 times,I don’t follow a specific diet,0-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,Sometimes,Sometimes,Sometimes,Fairly Often,Sometimes,Sometimes,Fairly Often,Fairly Often,Almost never,Sometimes,2.0,2.864229765013055,3.0,2.776141384388807,3.0,2.0,3 times,6 or 7 times,5 times or more,4 times,5 times or more,3 times,3 times,3 times,4 times,4 times,2 times,2.0,2.0,2.0,0.0,0.0,High food security,22.0,High resilience,16.0,Likely to have a moderate effect,15.640371149401862,Moderate psychological distress
2022-09-10 09:19:49.568,Female,50 and older,No,North America/Central America,More than 40 hours,"$75,000 to 99,999","$150,000 to $249,999",No,"2 or 4 Years of College Degree (AA, BA, BS)",3.7-4.0,4 times,I don’t follow a specific diet,4-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,Sometimes,Fairly often,Almost never,Sometimes,Sometimes,Almost never,Fairly Often,Sometimes,Almost never,Sometimes,2.0,2.864229765013055,2.0,2.776141384388807,3.0,2.8990066225165565,4 times,2 times,2 times,2 times,4 times,5 times or more,1 time,5 times or more,5 times or more,3 times,1 time,2.0,2.0,0.0,0.0,0.0,High food security,23.0,High resilience,10.0,Likely to have a debilitating effect,15.539377771918417,Moderate psychological distress
2022-09-10 11:53:53.078,Female,50 and older,No,North America/Central America,Less than 10 hours,Prefer not to answer,"$40,000 to $49,999",No,"Master's Degree (MS, MBA, MPH, etc.)",3.0-3.39,,I don’t follow a specific diet,0-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,4.0,4.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,,Almost never,Almost never,Fairly Often,Fairly Often,Sometimes,Fairly Often,Sometimes,Sometimes,Almost never,2.0,2.864229765013055,2.0,2.776141384388807,3.0,2.8990066225165565,,6 or 7 times,4 times,4 times,5 times or more,5 times or more,1 time,5 times or more,2 times,3 times,1 time,3.0,1.0,0.0,0.0,0.0,High food security,25.0,High resilience,12.0,Likely to have a moderate effect,15.539377771918417,Moderate psychological distress
2022-09-10 12:25:13.020,Female,40-49,No,North America/Central America,Not applicable,"$50,000 to 74,999","$90,000 to $99,999",No,"Master's Degree (MS, MBA, MPH, etc.)",3.4-3.69,3 times,I don’t follow a specific diet,4-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,Almost never,Fairly often,Fairly often,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Sometimes,5.0,3.0,3.0,3.0,2.0,3.0,2 times,2 times,3 times,1 time,3 times,3 times,2 times,3 times,3 times,2 times,4 times,1.0,2.0,4.0,2.0,0.0,High food security,22.0,High resilience,17.0,Likely to have a moderate effect,19.0,Severe psychological distress
2022-09-10 15:36:35.154,Male,50 and older,No,North America/Central America,Less than 10 hours,"$100,000 or greater","$150,000 to $249,999",No,"2 or 4 Years of College Degree (AA, BA, BS)",3.4-3.69,4 times,I don’t follow a specific diet,4-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,5.0,4.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,3.0,3.0,2.0,2.0,3.1576200417536535,2.8990066225165565,4 times,2 times,2 times,Never,5 times or more,5 times or more,3 times,5 times or more,3 times,2 times,1 time,1.0,1.0,2.0,2.0,0.0,High food security,24.0,High resilience,7.0,Likely to have a debilitating effect,16.05662666427021,Moderate psychological distress
2022-09-10 18:12:50.261,Female,50 and older,No,North America/Central America,More than 40 hours,"$75,000 to 99,999","$90,000 to $99,999",No,"2 or 4 Years of College Degree (AA, BA, BS)",,,I don’t follow a specific diet,0-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,Sometimes,Almost never,Sometimes,Fairly Often,Fairly Often,Almost never,Fairly Often,Fairly Often,Almost never,Almost never,2.0,2.864229765013055,3.2310838445807772,2.776141384388807,2.0,2.8990066225165565,,2 times,1 time,2 times,5 times or more,4 times,3 times,5 times or more,5 times or more,3 times,2 times,1.0,1.0,0.0,0.0,0.0,High food security,18.0,Normal resilience,14.0,Likely to have a moderate effect,15.770461616499194,Moderate psychological distress
2022-09-13 15:59:14.254,Female,18-22,Yes,North America/Central America,Not applicable,"4,999 to $9,999","$150,000 to $249,999",No,"2 or 4 Years of College Degree (AA, BA, BS)",3.7-4.0,6-7 times,I don’t follow a specific diet,8-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,0.0,0.0,4.0,3.0,Sometimes,Sometimes,Fairly often,Fairly Often,Sometimes,Almost never,Sometimes,Fairly Often,Sometimes,Almost never,3.0,2.864229765013055,3.0,2.776141384388807,4.0,2.8990066225165565,6-7 times,6 or 7 times,2 times,5 times or more,Never,5 times or more,Never,4 times,5 times or more,2 times,1 time,0.0,2.0,0.0,0.0,0.0,High food security,24.0,High resilience,19.0,Likely to have a moderate effect,18.539377771918417,Severe psychological distress
2022-09-13 16:01:49.880,Female,18-22,Yes,North America/Central America,I work seasonally,"$1 to $4,999","$90,000 to $99,999",No,High School,3.7-4.0,6-7 times,I don’t follow a specific diet,12+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,Sometimes,Never,Fairly often,Sometimes,Fairly Often,Almost never,Fairly Often,Sometimes,Almost never,Sometimes,4.0,2.864229765013055,3.0,2.776141384388807,2.0,2.8990066225165565,6-7 times,6 or 7 times,2 times,3 times,3 times,3 times,1 time,2 times,4 times,3 times,1 time,1.0,2.0,0.0,0.0,0.0,High food security,22.0,High resilience,19.0,Likely to have a moderate effect,17.539377771918417,Out of range
2022-09-13 16:02:16.079,Female,18-22,Yes,North America/Central America,Not applicable,"$1 to $4,999","$250,000 or more",No,High School,3.7-4.0,6-7 times,I don’t follow a specific diet,12+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,Fairly often,Sometimes,Very often,Sometimes,Sometimes,Fairly often,Sometimes,Very often,Sometimes,Sometimes,4.0,2.0,3.0,2.776141384388807,2.0,2.8990066225165565,6-7 times,6 or 7 times,3 times,4 times,Never,5 times or more,Never,3 times,4 times,2 times,1 time,0.0,0.0,0.0,0.0,0.0,High food security,22.0,High resilience,15.0,Likely to have a moderate effect,16.675148006905363,Moderate psychological distress
2022-09-13 16:03:28.521,Female,18-22,Yes,North America/Central America,Not applicable,0,"$150,000 to $249,999",No,High School,3.7-4.0,6-7 times,I don’t follow a specific diet,12+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,4.0,3.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,Sometimes,Very often,Very often,Fairly Often,Sometimes,Fairly often,Fairly Often,Almost never,Fairly Often,Fairly often,4.0,2.0,5.0,3.0,3.0,2.0,6-7 times,6 or 7 times,3 times,5 times or more,2 times,3 times,Never,3 times,5 times or more,4 times,Never,0.0,3.0,0.0,0.0,0.0,High food security,20.0,Normal resilience,4.0,Likely to have a debilitating effect,19.0,Severe psychological distress
2022-09-13 16:04:45.673,Female,18-22,Yes,North America/Central America,Less than 10 hours,0,"$50,000 to $59,999",No,High School,3.7-4.0,2 times,I don’t follow a specific diet,0-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,1.0,0.0,4.0,0.0,1.0,0.0,Sometimes,Fairly often,Sometimes,Sometimes,Sometimes,Sometimes,Fairly Often,Sometimes,Sometimes,Almost never,2.0,2.0,2.0,2.0,2.0,2.0,6-7 times,1 time,4 times,3 times,2 times,1 time,1 time,5 times or more,3 times,1 time,2 times,0.0,0.0,1.0,0.0,0.0,High food security,20.0,Normal resilience,9.0,Likely to have a debilitating effect,12.0,Moderate psychological distress
2022-09-13 16:13:14.813,Female,18-22,Yes,North America/Central America,Less than 10 hours,0,"Less than $10,000",Yes,High School,3.0-3.39,4 times,I don’t follow a specific diet,8-11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,Fairly often,Sometimes,Fairly often,Sometimes,Almost never,Sometimes,Fairly Often,Sometimes,Sometimes,Fairly often,4.0,3.0,5.0,3.0,5.0,2.0,4 times,3 times,3 times,5 times or more,4 times,5 times or more,4 times,4 times,5 times or more,4 times,3 times,1.0,4.0,0.0,0.0,1.0,High food security,21.0,Normal resilience,8.0,Likely to have a debilitating effect,22.0,Severe psychological distress
2022-09-13 16:18:38.063,Female,50 and older,No,North America/Central America,More than 40 hours,"$50,000 to 74,999","$100,000 to $149,999",No,"2 or 4 Years of College Degree (AA, BA, BS)",3.4-3.69,5 times,I don’t follow a specific diet,4-7,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,Almost never,Almost never,Sometimes,Very often,Fairly Often,Almost never,Almost never,Fairly Often,Sometimes,Never,3.2295719844357977,2.864229765013055,3.0,2.0,2.0,2.8990066225165565,3 times,2 times,2 times,4 times,5 times or more,3 times,2 times,2 times,5 times or more,2 times,Never,2.0,3.0,0.0,0.0,1.0,High food security,27.0,High resilience,21.0,Likely to have a moderate effect,15.99280837196541,Moderate psychological distress
2022-09-13 16:46:41.288,Female,18-22,Yes,North America/Central America,Less than 10 hours,"$1 to $4,999","Less than $10,000",Not sure,"2 or 4 Years of College Degree (AA, BA, BS)",3.4-3.69,6-7 times,I don’t follow a specific diet,4-7,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,3.0,2.0,1.0,2.0,3.0,Fairly often,Very often,Very often,Sometimes,Almost never,Sometimes,Almost never,Sometimes,Very Often,Fairly often,4.0,3.0,4.0,3.0,5.0,2.0,6-7 times,4 times,3 times,5 times or more,3 times,3 times,5 times or more,5 times or more,3 times,5 times or more,3 times,0.0,1.0,0.0,0.0,7.0,Very low food security,13.0,Low resilience,14.0,Likely to have a moderate effect,21.0,Severe psychological distress
2022-09-13 16:51:23.854,Male,40-49,No,North America/Central America,31-40 hours,"$100,000 or greater","$150,000 to $249,999",No,"2 or 4 Years of College Degree (AA, BA, BS)",3.0-3.39,,I don’t follow a specific diet,4-7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,Very often,Very often,Very often,Sometimes,Sometimes,Fairly often,Sometimes,Sometimes,Very Often,Sometimes,2.0,3.0,2.0,2.776141384388807,3.0,2.8990066225165565,,1 time,2 times,5 times or more,5 times or more,4 times,5 times or more,4 times,5 times or more,4 times,1 time,1.0,4.0,0.0,0.0,1.0,High food security,16.0,Normal resilience,10.0,Likely to have a debilitating effect,15.675148006905363,Moderate psychological distress
2022-09-13 17:28:43.897,Female,18-22,Yes,North America/Central America,11-20 hours,"4,999 to $9,999","$100,000 to $149,999",No,"2 or 4 Years of College Degree (AA, BA, BS)",3.7-4.0,6-7 times,I don’t follow a specific diet,4-7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,0.0,2.0,2.0,1.0,3.0,2.0,Fairly often,Sometimes,Fairly often,Sometimes,Almost never,Sometimes,Almost never,Fairly Often,Almost never,Almost never,3.0,3.0,3.0,2.0,4.0,2.0,6-7 times,6 or 7 times,3 times,5 times or more,1 time,3 times,3 times,5 times or more,3 times,2 times,Never,2.0,0.0,2.0,1.0,2.0,Low food security,21.0,Normal resilience,16.0,Likely to have a moderate effect,17.0,Moderate psychological distress
2022-09-13 17:29:40.118,Female,18-22,Yes,North America/Central America,I work seasonally,"$1 to $4,999","$100,000 to $149,999",Not sure,High School,3.7-4.0,6-7 times,I don’t follow a specific diet,12+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,Sometimes,Fairly often,Fairly often,Sometimes,Sometimes,Fairly often,Sometimes,Almost never,Fairly Often,Sometimes,4.0,4.0,4.0,3.0,4.0,3.0,6-7 times,6 or 7 times,3 times,5 times or more,5 times or more,5 times or more,3 times,4 times,5 times or more,2 times,3 times,2.0,2.0,0.0,0.0,0.0,High food security,21.0,Normal resilience,16.0,Likely to have a moderate effect,22.0,Severe psychological distress
2022-09-13 17:32:00.953,Female,18-22,Yes,North America/Central America,Less than 10 hours,"$1 to $4,999",,No,High School,3.7-4.0,6-7 times,I don’t follow a specific diet,0-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,Fairly often,Almost never,Fairly often,Almost never,Almost never,Sometimes,Almost never,Sometimes,Fairly Often,Sometimes,4.0,3.0,3.0,2.0,3.0,3.0,6-7 times,6 or 7 times,5 times or more,5 times or more,2 times,3 times,Never,3 times,3 times,3 times,3 times,3.0,4.0,0.0,0.0,0.0,High food security,14.0,Normal resilience,12.0,Likely to have a moderate effect,18.0,Severe psychological distress
2022-09-13 17:46:41.217,Female,18-22,Yes,North America/Central America,Less than 10 hours,"$1 to $4,999","$100,000 to $149,999",No,High School,3.7-4.0,1 time,I don’t follow a specific diet,8-11,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,3.0,5.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,Sometimes,Fairly often,Very often,Sometimes,Sometimes,Almost never,Fairly Often,Sometimes,Sometimes,Almost never,4.0,2.864229765013055,3.0,2.0,4.0,2.8990066225165565,2 times,1 time,5 times or more,4 times,5 times or more,3 times,1 time,5 times or more,4 times,3 times,Never,0.0,3.0,0.0,0.0,3.0,Low food security,23.0,High resilience,12.0,Likely to have a moderate effect,18.763236387529613,Severe psychological distress
